@relation att_3b01bcb8_0b14_4abf_b6f2_c1bfd384ba69

@attribute state {Bihar,Chhattisgarh,Arunachal_Pradesh,Assam,Andhra_Pradesh,Delhi,Gujarat,Haryana,Karnataka,'Madhya Pradesh',Maharashtra,Kerala,Odisha,Punjab,Manipur,Rajasthan,TamilNadu,Telangana,Uttar_Pradesh,West_Bengal,Uttarakhand,Chandigarh,Mizoram,Nagaland,Puducherry,Tripura,Jharkhand,Jammu_and_Kashmir,Meghalaya,'Himachal Pradesh'}
@attribute city string
@attribute pollutant_min numeric
@attribute pollutant_max numeric
@attribute pollutant_avg numeric

@data
Bihar,Patna,0.022727272727272728,0.046153846153846156,0.04
Chhattisgarh,Kunjemura,0.015151515151515152,0.009230769230769232,0.008
Arunachal_Pradesh,Naharlagun,0.015151515151515152,0.006153846153846154,0.008
Assam,Guwahati,0.11363636363636363,0.06461538461538462,0.072
Chhattisgarh,Bhilai,0.0,0.23384615384615384,0.256
Chhattisgarh,Bhilai,0.022727272727272728,0.11692307692307692,0.132
Bihar,Hajipur,0.030303030303030304,0.043076923076923075,0.032
Bihar,Manguraha,0.06060606060606061,0.027692307692307693,0.036
Assam,Nagaon,0.022727272727272728,0.1076923076923077,0.036
Andhra_Pradesh,Anantapur,0.11363636363636363,0.16307692307692306,0.168
Bihar,Muzaffarpur,0.06818181818181818,0.08615384615384615,0.072
Chhattisgarh,Chhal,0.12121212121212122,0.2123076923076923,0.176
Delhi,Delhi,0.14393939393939395,0.15076923076923077,0.176
Gujarat,Ahmedabad,0.17424242424242425,0.1753846153846154,0.18
Gujarat,Ahmedabad,0.10606060606060606,0.1076923076923077,0.112
Gujarat,Ahmedabad,0.06060606060606061,0.08615384615384615,0.096
Gujarat,Ahmedabad,0.15151515151515152,0.23384615384615384,0.236
Delhi,Delhi,0.05303030303030303,0.046153846153846156,0.044
Delhi,Delhi,0.12121212121212122,0.14461538461538462,0.156
Gujarat,Gandhinagar,0.07575757575757576,0.10461538461538461,0.108
Delhi,Delhi,0.09848484848484848,0.21846153846153846,0.2
Delhi,Delhi,0.03787878787878788,0.07384615384615385,0.06
Delhi,Delhi,0.2803030303030303,0.12,0.152
Chhattisgarh,Raipur,0.015151515151515152,0.006153846153846154,0.008
Haryana,Gurugram,0.06818181818181818,0.13846153846153847,0.16
Haryana,Panchkula,0.13636363636363635,0.06769230769230769,0.08
Karnataka,Koppal,0.007575757575757576,0.23076923076923078,0.188
Karnataka,Bengaluru,0.18181818181818182,0.07692307692307693,0.1
Karnataka,Bengaluru,0.12878787878787878,0.06461538461538462,0.08
Karnataka,Karwar,0.05303030303030303,0.024615384615384615,0.032
Haryana,Faridabad,0.2196969696969697,0.9815384615384616,0.28
Karnataka,Chikkamagaluru,0.07575757575757576,0.15384615384615385,0.128
Karnataka,Belgaum,0.13636363636363635,0.05846153846153846,0.072
Karnataka,Hassan,0.0,0.003076923076923077,0.004
Karnataka,Shivamogga,0.09848484848484848,0.23384615384615384,0.24
'Madhya Pradesh',Ratlam,0.10606060606060606,0.046153846153846156,0.056
'Madhya Pradesh',Sagar,0.16666666666666666,0.09846153846153846,0.108
'Madhya Pradesh',Singrauli,0.03787878787878788,0.16615384615384615,0.156
'Madhya Pradesh',Gwalior,0.2196969696969697,0.2676923076923077,0.28
Maharashtra,Mumbai,0.007575757575757576,0.4430769230769231,0.388
Maharashtra,Mumbai,0.03787878787878788,0.49846153846153846,0.404
Maharashtra,Mumbai,0.045454545454545456,0.021538461538461538,0.024
Maharashtra,Mumbai,0.5681818181818182,0.23076923076923078,0.3
Maharashtra,Mumbai,0.10606060606060606,0.8923076923076924,1.0
'Madhya Pradesh',Bhopal,0.3181818181818182,0.3384615384615385,0.356
'Madhya Pradesh',Jabalpur,0.09848484848484848,0.19384615384615383,0.188
Kerala,Kollam,0.21212121212121213,0.11076923076923077,0.136
'Madhya Pradesh',Gwalior,0.1590909090909091,0.09846153846153846,0.116
Odisha,Byasanagar,0.045454545454545456,0.5446153846153846,0.692
Maharashtra,Mumbai,0.05303030303030303,0.40923076923076923,0.352
Maharashtra,Mumbai,0.045454545454545456,0.26461538461538464,0.228
Punjab,Jalandhar,0.21212121212121213,0.1753846153846154,0.16
Maharashtra,Pimpri-Chinchwad,0.30303030303030304,0.20307692307692307,0.256
Maharashtra,Pune,0.09848484848484848,0.1076923076923077,0.1
Manipur,Imphal,0.03787878787878788,0.015384615384615385,0.02
Maharashtra,'Navi Mumbai',0.0,0.3046153846153846,0.248
Odisha,Rourkela,0.015151515151515152,0.2553846153846154,0.216
Maharashtra,Mumbai,0.12878787878787878,0.055384615384615386,0.068
Maharashtra,Mumbai,0.06060606060606061,0.024615384615384615,0.032
Rajasthan,Kota,0.08333333333333333,0.2923076923076923,0.292
Punjab,Khanna,0.09090909090909091,0.05846153846153846,0.056
Punjab,'Mandi Gobindgarh',0.25757575757575757,0.12307692307692308,0.144
Rajasthan,Jodhpur,0.30303030303030304,0.4,0.424
Rajasthan,Jodhpur,0.4393939393939394,0.4461538461538462,0.492
Rajasthan,Kota,0.03787878787878788,0.26461538461538464,0.252
Rajasthan,'Sri Ganganagar',0.09090909090909091,0.20923076923076922,0.176
Rajasthan,Jaipur,0.09090909090909091,0.1476923076923077,0.144
Rajasthan,Jhalawar,0.13636363636363635,0.2923076923076923,0.252
Rajasthan,Ajmer,0.10606060606060606,0.08923076923076922,0.068
Rajasthan,Churu,0.3409090909090909,0.40615384615384614,0.396
Rajasthan,Jodhpur,0.09848484848484848,0.20615384615384616,0.22
TamilNadu,Thanjavur,0.045454545454545456,0.08,0.052
TamilNadu,Tiruchirappalli,0.08333333333333333,0.036923076923076927,0.044
TamilNadu,Tirunelveli,0.03787878787878788,0.018461538461538463,0.02
Telangana,Hyderabad,0.0,0.10461538461538461,0.092
Telangana,Hyderabad,0.11363636363636363,0.1076923076923077,0.088
TamilNadu,Chennai,0.03787878787878788,0.18153846153846154,0.08
TamilNadu,Gummidipoondi,0.0,0.26153846153846155,0.1
TamilNadu,Chennai,0.06818181818181818,0.046153846153846156,0.044
Telangana,Hyderabad,0.20454545454545456,0.10153846153846154,0.124
TamilNadu,Chengalpattu,0.03787878787878788,0.015384615384615385,0.02
Telangana,Hyderabad,0.045454545454545456,0.09230769230769231,0.1
TamilNadu,Ranipet,0.0,0.0,0.0
Uttar_Pradesh,Kanpur,0.07575757575757576,0.036923076923076927,0.04
Uttar_Pradesh,Kanpur,0.03787878787878788,0.07692307692307693,0.084
Uttar_Pradesh,Agra,0.03787878787878788,0.15692307692307692,0.108
Uttar_Pradesh,Agra,0.0,0.015384615384615385,0.008
Uttar_Pradesh,Firozabad,0.09848484848484848,0.04923076923076923,0.056
Uttar_Pradesh,Ghaziabad,0.007575757575757576,0.018461538461538463,0.02
Uttar_Pradesh,Ghaziabad,0.022727272727272728,0.04,0.036
Uttar_Pradesh,Lucknow,0.06060606060606061,0.06769230769230769,0.048
Uttar_Pradesh,Bareilly,0.09090909090909091,0.04923076923076923,0.056
Telangana,Hyderabad,0.12878787878787878,0.19076923076923077,0.176
Uttar_Pradesh,Moradabad,0.03787878787878788,0.027692307692307693,0.028
Uttar_Pradesh,Jhansi,0.0,0.018461538461538463,0.012
West_Bengal,Asansol,0.045454545454545456,0.2276923076923077,0.176
Uttar_Pradesh,Varanasi,0.0,0.003076923076923077,0.004
West_Bengal,Howrah,0.022727272727272728,0.24307692307692308,0.232
West_Bengal,Durgapur,0.007575757575757576,0.2246153846153846,0.136
West_Bengal,Haldia,0.14393939393939395,0.12,0.108
West_Bengal,Kolkata,0.11363636363636363,0.2923076923076923,0.192
West_Bengal,Kolkata,0.17424242424242425,0.2123076923076923,0.212
West_Bengal,Siliguri,0.09848484848484848,0.055384615384615386,0.064
West_Bengal,Kolkata,0.03787878787878788,0.23076923076923078,0.196
Uttar_Pradesh,Noida,0.022727272727272728,0.09846153846153846,0.084
Uttarakhand,Kashipur,0.015151515151515152,0.009230769230769232,0.008
Chandigarh,Chandigarh,0.05303030303030303,0.10461538461538461,0.084
Assam,Guwahati,0.11363636363636363,0.04923076923076923,0.064
Bihar,Patna,0.16666666666666666,0.07076923076923076,0.092
Bihar,'Bihar Sharif',0.16666666666666666,0.13538461538461538,0.132
Bihar,Gaya,0.13636363636363635,0.06153846153846154,0.076
Andhra_Pradesh,Chittoor,0.1590909090909091,0.13230769230769232,0.128
Andhra_Pradesh,Rajamahendravaram,0.0,0.015384615384615385,0.008
Chhattisgarh,Milupara,0.0,0.2,0.188
Chhattisgarh,Raipur,0.0,0.012307692307692308,0.008
Bihar,Bettiah,0.1590909090909091,0.06769230769230769,0.084
Bihar,Arrah,0.0,0.04923076923076923,0.028
Delhi,Delhi,0.15151515151515152,0.16923076923076924,0.18
Assam,Byrnihat,0.15151515151515152,0.42153846153846153,0.212
Delhi,Delhi,0.09090909090909091,0.05846153846153846,0.064
Delhi,Delhi,0.16666666666666666,0.09538461538461539,0.104
